"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"USP4",8.29917707147962e-16,-0.857568192873898,0.496,0.849,1.57692663535184e-11
"YBX2",8.77116757896078e-16,-1.98231026693783,0.151,0.651,1.66660955167834e-11
"WNK3",9.07910940338916e-16,-0.772177517826267,0.597,0.946,1.72512157773797e-11
"XXYLT1",9.73946077250079e-16,-0.485915930496304,0.739,0.946,1.85059494138288e-11
"ZNF562",1.01741672974131e-15,-0.552693023045264,0.731,0.962,1.93319352818146e-11
"PCED1A",1.0207194222356e-15,-0.128516977204244,0.983,0.995,1.93946897418987e-11
"PICK1",1.03860314482355e-15,-0.694924444493186,0.605,0.909,1.97344983547923e-11
"PLEKHG4",1.05630262336081e-15,-0.563612706303941,0.639,0.914,2.00708061464788e-11
"ZNF568",1.09317725639026e-15,-0.464851546977144,0.714,0.941,2.07714610486713e-11
"CBR4",1.1131435412573e-15,-0.228589303238492,0.975,1,2.115084042743e-11
"STOX2",1.24499908639342e-15,-1.10235923724083,0.395,0.796,2.36562276405613e-11
"MOV10",1.26625597064626e-15,-0.900684889765331,0.487,0.855,2.40601296982496e-11
"PRIMPOL",1.27063233669313e-15,-0.935008728803573,0.471,0.839,2.41432850295061e-11
"ARID3A",1.31627971499913e-15,-0.798857288236111,0.546,0.876,2.50106308646985e-11
"SLC38A7",1.31751263285633e-15,-1.07916641411994,0.42,0.86,2.50340575369032e-11
"KLF12",1.31956449546663e-15,-0.61639132887555,0.723,0.962,2.50730449783614e-11
"ZNF717",1.38886051194667e-15,-0.402708160129052,0.765,0.962,2.63897385874986e-11
"ZNF44",1.41144648018417e-15,-1.31462431945163,0.319,0.774,2.68188945699794e-11
"LINC00649",1.46589220191563e-15,-0.498710625567543,0.748,0.973,2.78534177285989e-11
"DLK1",1.49638594507006e-15,1.1640126088887,0.908,0.618,2.84328293422761e-11
"FHL1",1.6415858963763e-15,0.92928583040785,0.983,0.774,3.11917736170462e-11
"DNAAF4",1.66104775686125e-15,-1.52249577640882,0.261,0.769,3.15615684281206e-11
"TCEAL7",1.69749644441206e-15,-0.85976838803844,0.63,0.898,3.22541299402735e-11
"GPC2",1.71507957041253e-15,-0.522555732357894,0.773,0.973,3.25882269174085e-11
"C19orf66",1.74841864451274e-15,-1.80994641390022,0.185,0.656,3.32217026643865e-11
"HLTF",1.77395837251601e-15,-0.844660697845987,0.571,0.892,3.37069830361767e-11
"MAGEA4",1.81430508132286e-15,1.06688129808727,0.84,0.419,3.44736108502156e-11
"CLCN2",1.83804662663643e-15,-1.74154061932279,0.202,0.672,3.49247239527188e-11
"SEM1",1.83827020809035e-15,-0.63014425586997,0.992,0.995,3.49289722239247e-11
"PLCH1",1.89916420218856e-15,1.68732586425677,0.664,0.242,3.60860190057848e-11
"MFSD13A",1.93178200269361e-15,-1.6362339920549,0.218,0.688,3.67057898331813e-11
"SH2B2",1.93930773807609e-15,-1.99142891801569,0.151,0.597,3.68487863311838e-11
"MTA1",1.99135481800669e-15,-0.198467944632707,0.95,0.989,3.78377328969451e-11
"IP6K2",2.00155147610241e-15,-1.0295863191329,0.479,0.855,3.80314795974218e-11
"C16orf45",2.00546598838996e-15,-1.95611404157726,0.16,0.677,3.81058592453977e-11
"NBEA",2.22052001423776e-15,-1.53735899445496,0.252,0.731,4.21921007905316e-11
"FRZB",2.22543702197482e-15,1.46481378184594,0.739,0.382,4.22855288545436e-11
"MPC1",2.2730334413792e-15,0.536011742428944,0.983,0.796,4.31899084196461e-11
"GATA2",2.29613319204649e-15,-1.81390637930332,0.185,0.672,4.36288267820753e-11
"ABCC4",2.30181117425914e-15,1.11177865179184,0.815,0.446,4.3736714122098e-11
"ZNF814",2.42630310526595e-15,-0.687877488334354,0.63,0.952,4.61021853031582e-11
"SP4",2.49483374674452e-15,-0.704196005833786,0.597,0.925,4.74043360218927e-11
"MATN2",2.58530168457967e-15,1.36306451069877,0.756,0.333,4.91233173086982e-11
"TNFAIP8",2.62811444153492e-15,-0.727530827607048,0.605,0.93,4.9936802503605e-11
"NUDT6",2.64641526701857e-15,-1.16416233236323,0.378,0.828,5.02845364886199e-11
"ARAP3",2.71442026647563e-15,-1.19638838791901,0.353,0.79,5.15766994833035e-11
"TKFC",2.72693196088126e-15,-0.452809549461098,0.731,0.957,5.18144341887048e-11
"LDOC1",2.90893484030679e-15,-1.24557016980244,0.345,0.801,5.52726709006693e-11
"NR2F2-AS1",2.98263542863816e-15,-0.654494812495491,0.681,0.941,5.66730557795537e-11
"COMT",3.04234395183082e-15,0.380335762947592,0.983,0.882,5.78075774287375e-11
"ALDH6A1",3.15245405151468e-15,-0.247607793973021,0.874,0.984,5.98997794328304e-11
"PTMA",3.43677946384558e-15,-0.837267923957306,0.992,1,6.53022465925298e-11
"ST13",3.5107186782165e-15,0.655814725565375,1,0.995,6.67071656047917e-11
"CAPZA2",3.54827339858531e-15,-0.660776007450276,0.992,1,6.74207428465194e-11
"SCD5",3.61660497865559e-15,-1.65526798637587,0.218,0.688,6.87191111994349e-11
"CBLB",3.72110441808945e-15,-0.766140551951446,0.613,0.925,7.07047050481177e-11
"ZC4H2",3.74776276127646e-15,-0.700594941538043,0.613,0.914,7.1211240227014e-11
"TMCO6",3.84921407101417e-15,-2.31648835491923,0.109,0.581,7.31389165633402e-11
"ARHGAP33",3.91342000486661e-15,-1.26341416013003,0.328,0.763,7.43588935124704e-11
"EXOSC9",3.96303919346264e-15,-0.875630519278654,0.555,0.892,7.53017077149836e-11
"AL513318.2",3.99922941808517e-15,-1.00496736079946,0.42,0.817,7.59893581730363e-11
"IGFBP3",4.05592612952703e-15,1.91777396172191,0.655,0.237,7.70666523871431e-11
"ABLIM3",4.07260364718472e-15,1.72085941935826,0.605,0.199,7.73835419001568e-11
"PCDHB2",4.13428074340493e-15,-1.35593526642863,0.303,0.774,7.85554684054371e-11
"RBM6",4.34171611103745e-15,-0.281815065329456,0.975,1,8.24969478258225e-11
"AL590617.2",4.42894547795231e-15,-1.57939658929445,0.235,0.715,8.41543930265719e-11
"IRF2",4.52087030123109e-15,-0.708162555582515,0.58,0.898,8.59010565936919e-11
"SMARCA5",4.62328007944018e-15,-0.551896643317609,0.933,0.995,8.78469447894428e-11
"PBX1",4.69596232446181e-15,-0.843322525956139,0.689,0.952,8.92279801270989e-11
"C3orf67",4.71233388257074e-15,-0.391053827589645,0.798,0.978,8.95390561027266e-11
"LBX2",4.73681837333356e-15,-1.65231510869814,0.218,0.667,9.0004285911711e-11
"ZNF649",5.03758410612287e-15,-0.86862044493371,0.496,0.866,9.57191356004407e-11
"PPP4R2",5.12589412211137e-15,-0.448897628511593,0.857,0.984,9.73971142142381e-11
"FILIP1L",5.1813377334294e-15,1.75981826522002,0.647,0.188,9.84505982728921e-11
"ABHD8",5.42832083763768e-15,-1.06598503467228,0.412,0.839,1.03143524235954e-10
"CRYAB",5.71176996687812e-15,3.97418196345586,0.361,0.027,1.08529341140651e-10
"ANK3",5.82779739719515e-15,-2.63977473439064,0.084,0.527,1.10733978344105e-10
